codigo,grado,10-Nov,11-Dec,Dec-13,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22
636,Ingeniería en Sistemas de Telecomunicación (Fuenlabrada),6.814,7,6.785,7.283,7.423,6.361,6.725,7.139,7.39,7.389,8.771,9.491
637,Ingeniería en Tecnologías de la Telecomunicación (Fuenlabrada),7.07,7.478,7.34,7.918,7.933,7.606,7.873,7.9,8.024,8.047,9.525,10.135
638,Ingeniería en Telemática (Fuenlabrada),5.297,6.01,6.311,6.728,5.651,5.999,6.257,6.95,7.14,6.555,8.082,8.871
639,Ingeniería Informática (Móstoles),6.071,6.069,6.57,6.67,7.122,7.218,7.366,8.522,9.267,9.34,10.621,10.896
640,Ingeniería Informática (Vicalvaro),5,5.75,5.614,6.04,6.178,6.447,6.867,8.093,8.524,8.851,10.325,10.546
641,Ingeniería Informática On-line (Móstoles),5,5.65,5,5,NA,NA,NA,NA,NA,NA,NA,NA
642,Ingeniería Química (Móstoles),6.789,6.843,7.619,7.649,7.571,7.597,7.676,7.44,7.757,8.735,9.412,10.533
643,Fundamentos de la Arquitectura (Fuenlabrada),NA,9.308,9.129,8.986,8.724,8.407,7.26,7.878,8.492,7.971,9.922,10.725
645,Ingeniería en Organización Industrial (Vicalvaro),NA,5,6.313,7.153,7.225,7.975,7.982,8.518,7.969,7.95,9.464,10.55
646,Ingeniería de Tecnologías Industriales (Móstoles),NA,7.772,9.073,9.303,8.957,9.169,9.143,9.521,8.554,8.7,9.722,10.53
647,Ingeniería Aeroespacial en Aeronavegación (Fuenlabrada),NA,NA,9.416,10.272,10.436,10.69,10.717,10.183,10.701,11.018,11.678,12.012
648,Ingeniería en Organización Industrial (Móstoles),NA,NA,6.761,7.628,7.7,7.464,8.114,9.236,8.47,8.462,9.918,10.734
660,Administración y Dirección de Empresas (Fuenlabrada),6.029,6.509,6.485,6.73,5.542,6.059,6.36,6.522,6.54,7.31,8.489,9.491
661,Administración y Dirección de Empresas (Inglés) (Vicalvaro),6.76,5,5.15,5,5,6.894,7.321,7.346,7.608,7.706,5,8.618
662,Administración y Direccion de Empresas (Móstoles),6.01,6.503,5.95,6.45,5.507,5.83,6.415,6.51,6.598,7.122,8.418,9.392
663,Administración y Dirección de Empresas (Vicalvaro),6.4,6.73,6.27,6.649,5.925,6.128,6.632,6.67,6.77,7.207,8.286,9.41
664,Administración y Dirección de Empresas (A Distancia) (Vicalvaro),6.6,5.85,6.085,6.09,5,5.11,6.38,6.45,6.23,7,7.493,8.23
665,Ciencia Política y Gestión Pública (Vicalvaro),5,6.014,5.052,5.89,5.506,5.354,6.165,6.083,6.267,6.658,7.992,8.54
666,Ciencia Política y Gestión Pública On-line (Vicálvaro),5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA
667,Comunicación Audiovisual (Fuenlabrada),7.9,8.21,8,8.226,8.272,8,8.28,8.664,8.973,9.146,9.842,10.022
668,Comunicación Audiovisual (Vicalvaro),7.93,8.514,8.39,8.583,8.739,8.657,8.952,9.107,9.491,9.55,9.934,10.559
669,Criminología (Vicalvaro),8.875,9.659,9.392,9.717,9.903,10.106,10.054,10.278,10.45,10.457,11.177,11.531
670,Derecho (Fuenlabrada),5.567,6.253,6.27,6.882,6.631,6.74,7.326,8.09,6.798,7.564,8.71,10.033
671,Derecho (Móstoles),5.126,6.024,5.693,6.366,6.326,6.154,6.394,7.123,6.408,7.338,8.386,9.368
672,Derecho (Vicalvaro),5.88,6.8,6.093,6.957,6.424,6.86,6.85,7.732,7.228,7.425,8.225,9.369
673,Derecho (Semipresencial) (Vicalvaro),5,5.61,5,5.14,5,5,5,5.713,5.99,6.125,7.23,7.997
674,Economía (Fuenlabrada),5.439,6.16,6.64,6.32,6.121,5.624,7.118,7.783,6.779,7.073,8.7,9.452
675,Economía (Vicalvaro),5.603,6.351,6.835,6.893,7.065,6.659,7.583,7.64,6.875,7.551,9.071,9.526
676,Economía Financiera y Actuarial (Vicalvaro),5,6.09,6.657,6.786,6.932,7.7,8.051,8.993,6.483,6.814,8.736,9.425
677,Economía (Inglés) (Móstoles),5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
678,Educación Infantil (Fuenlabrada),6.988,7.185,6.673,6.88,6.93,7,7.3,7.43,7.57,7.71,8.5,9.026
679,Educación Infantil (Móstoles),7.01,7.06,6.86,6.858,7.501,6.87,7.46,7.464,7.426,7.79,8.526,9.025
680,Educación Infantil  (Semipresencial)  (Vicalvaro),8.7,7.52,7.38,7.07,7.21,7.71,7.76,8.23,8.23,7.79,8.36,9
681,"Educación Primaria  y Educación Primaria mención Educación Física(Fuenlabrada)",6.874,7.4,6.5,7.415,5.617,7.09,7.4,7.73,7.908,8.177,9.46,9.883
682,"Educación Primaria  y Educación Primaria mención Educación Musical(Móstoles)",6.819,7.107,5.83,6.367,5,6.2,6.368,6.51,6.71,7.29,8.206,9.105
683,"Educación Primaria y Educación Primaria mención Lengua ExtranjeraInglés (Inglés) (Vicalvaro)",6.85,5,5,5,5,7.242,7.089,7.793,7.159,7.896,5.649,8.448
