codigo,grado,10-Nov,11-Dec,Dec-13,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22
880,Lengua de Signos Española y Comunidad Sorda - Trabajo Social (Alcorcón),NA,NA,NA,NA,NA,NA,7.17,9.076,9,9.782,10.777,9.67
881,Relaciones Laborales y RR.HH - Trabajo Social (Alcorcón),NA,NA,NA,NA,NA,NA,8.212,9.572,8.806,10.231,10.38,11.129
882,Turismo-Marketing (Aranjuez),NA,NA,NA,NA,NA,NA,7.674,9.024,10.054,NA,NA,NA
884,Diseño Integral y Gestión de la Imagen (Madrid),NA,NA,NA,NA,NA,NA,8.89,9.888,10.405,11.013,11.741,11.983
885,Traducción e Interpretación (Móstoles),NA,NA,NA,NA,NA,NA,6.818,8.776,9.392,9.793,10.548,7.886
886,Diseño y Desarrollo de Videojuegos (Madrid),NA,NA,NA,NA,NA,NA,9.08,9.987,9.982,10.009,10.71,11.122
887,Administración y Dirección de Empresas - Derecho (Fuenlabrada),NA,NA,NA,NA,NA,NA,6.215,5.891,5.94,6.291,8.007,9.686
890,Administración y Dirección de Empresas - Marketing (Vicálvaro),NA,NA,NA,NA,NA,NA,NA,10.946,11.737,11.59,12.193,12.89
892,Ciencias de la Actividad Física y del Deporte  -  Fisioterapia (Alcorcón),NA,NA,NA,NA,NA,NA,NA,12.125,12.655,12.701,13.04,13.267
893,Ciencias de la Actividad Física y del Deporte (Alcorcón),NA,NA,NA,NA,NA,NA,NA,9.575,10.075,10.334,10.986,11.27
894,Ciencias de la Actividad Física y del Deporte (Presencial) - Educacion Primaria Mención Educación Física (Semipresencial) (Alcorcón),NA,NA,NA,NA,NA,NA,NA,12.125,10.928,10.381,11.41,11.964
895,Contabilidad y Finanzas (A Distancia) (Vicálvaro),NA,NA,NA,NA,NA,NA,NA,5,5,5,6.58,7.38
896,Criminología-Trabajo Social (Aranjuez),NA,NA,NA,NA,NA,NA,NA,10.077,10.922,NA,NA,NA
898,Dirección y Gestión de Empresas en el Ámbito Digital (Vicálvaro),NA,NA,NA,NA,NA,NA,NA,5,8.181,8.684,9.829,10.662
899,Economía (Móstoles),NA,NA,NA,NA,NA,NA,NA,5,6.694,7.036,8.357,9.152
900,Economía Financiera y Actuarial (Móstoles),NA,NA,NA,NA,NA,NA,NA,5,5,6.152,7.432,8.853
901,Economía Financiera y Actuarial - ADE (Móstoles),NA,NA,NA,NA,NA,NA,NA,9.626,10.633,10.719,11.086,12.039
902,Economía Financiera y Actuarial - Economía (Móstoles),NA,NA,NA,NA,NA,NA,NA,5,7.91,8.218,10.314,10.851
903,Economía - Derecho (Móstoles),NA,NA,NA,NA,NA,NA,NA,5.328,9.626,9.202,10.776,11.592
904,Economía - Matemáticas (Móstoles),NA,NA,NA,NA,NA,NA,NA,10.825,11.924,12.356,12.95,13.114
905,Filosofía - Ciencia Política y Gestión Pública (Fuenlabrada),NA,NA,NA,NA,NA,NA,NA,5.074,6.945,8.543,8.543,10.187
906,Filosofía - Economía (Fuenlabrada),NA,NA,NA,NA,NA,NA,NA,5,9.256,9.03,10.869,11.539
907,Filosofía - Lengua y Literatura Española (Fuenlabrada),NA,NA,NA,NA,NA,NA,NA,5,9.079,5,10.107,12.181
908,Filosofía (Fuenlabrada),NA,NA,NA,NA,NA,NA,NA,5,5.767,6.8,7.57,8.441
912,Ingeniería Aeroespacial en Vehículos Aeroespaciales (Fuenlabrada),NA,NA,NA,NA,NA,NA,NA,10.501,10.919,11.307,11.864,12.067
913,Ingeniería Biomédica (Inglés) (Alcorcón),NA,NA,NA,NA,NA,NA,NA,11.79,11.857,11.834,12.149,12.564
914,Ingeniería Mecánica (Móstoles),NA,NA,NA,NA,NA,NA,NA,8.194,9.089,8.911,10.181,10.921
915,Lengua de Signos Española y Comunidad Sorda - Terapia Ocupacional (Alcorcón),NA,NA,NA,NA,NA,NA,NA,8.906,9.05,9.179,10.49,10.208
916,Relaciones Internacionales (Aranjuez),NA,NA,NA,NA,NA,NA,NA,5,9.862,9.522,10.56,10.892
917,Relaciones Laborales y Recursos Humanos (Aranjuez),NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA
918,Derecho-Relaciones Laborales y RRHH (Aranjuez),NA,NA,NA,NA,NA,NA,NA,5.93,7.645,NA,NA,NA
919,Relaciones Laborales y RR.HH-Trabajo Social (Aranjuez),NA,NA,NA,NA,NA,NA,NA,5,7.261,NA,NA,NA
920,Trabajo Social (Aranjuez),NA,NA,NA,NA,NA,NA,NA,5.231,6.57,NA,NA,NA
921,Ingeniería de la Ciberseguridad (Móstoles),NA,NA,NA,NA,NA,NA,NA,NA,8.501,9.578,11.151,11.079
922,Ingeniería de Robótica Software (Fuenlabrada),NA,NA,NA,NA,NA,NA,NA,NA,9.49,9.848,10.84,11.162
932,Farmacia (Alcorcón),NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,11.69,12.13
933,Ingeniería Aeroespacial en Transporte y Aeropuertos (Fuenlabrada),NA,NA,NA,NA,NA,NA,NA,NA,NA,10.44,11.231,11.736
934,Ingeniería Electrónica Industrial y Automática (Móstoles),NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8.21,9.643
935,Recursos Hídricos (Móstoles),NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5
936,Turismo - Marketing (Vicalvaro),NA,NA,NA,NA,NA,NA,NA,NA,NA,10.064,11.381,11.326
944,Derecho - Relaciones Internacionales (Inglés) (Vicálvaro),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.216
