"","código","grado","X10.11","X11.12","X12.13","X13.14","X14.15","X15.16","X16.17","X17.18","X18.19","X19.20","X20.21","X21.22"
"45",108,"Economía",5.717,6.06,6.124,6.179,5.56,5.892,6.294,5,7.429,8.225,9.679,10.043
"46",109,"Educación Social",7.724,7.272,7.164,7.214,7.5,7.685,7.8,8.5,8.803,9.099,9.754,9.954
"47",110,"Estadística Aplicada",5,5.04,5,5,5,5,5.106,5.604,6.913,7.958,9.228,10.248
"48",111,"Geografía y Ordenación del Territorio",5,5.682,5,5,5,5,5,5,5,5,5,5
"49",112,"Gestión y Administración Pública",5,5,5,5,5,5,5,5,5,5,5.55,7.197
"50",113,"Gestión Informática y Empresarial (CES Felipe II)",5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA
"51",114,"Información y Documentación",5,5,5,5,5,5,5,5,5,5,5,5
"52",115,"Maestro: Educación Infantil",7.17,7.728,6.997,7.18,7.454,7.221,7.218,7.436,7.93,8.5,9.102,9.6
"53",116,"Maestro: Educación Primaria",7.21,7.456,6.979,7.214,7.504,7,7.117,7.7,8.299,9,9.948,10.43
"54",117,"Pedagogía",6.264,6.872,6.624,6.932,6.992,7.039,7.173,8.057,7.726,8.527,9.003,9.649
"55",118,"Periodismo",7.295,7.894,7.284,7.272,7.136,6.989,7.429,7.479,7.848,8.141,8.81,9.392
