codigo,grado,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22
377,"Ingeniería de Tecnologías y Servicios de Telecomunicación + MásterUniversitario en Ingeniería de Telecomunicación (programa académico)",NA,NA,NA,NA,NA,NA,NA,NA,10.829,11.718,12.4,12.103
374,Ingeniería Telemática + Máster Univ. en Internet de las Cosas,NA,NA,NA,NA,NA,NA,NA,NA,5,6.932,7.899,NA
367,Ingeniería Electrónica de Comunicaciones y en Ingeniería Telemática,NA,NA,NA,NA,NA,NA,NA,NA,8.148,8.483,9.367,9.724
378,Ingeniería Agrícola + Máster U. en Ingeniería Agronómica,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6.126
380,"Ingeniería en Tecnología  Minera/ Íng. Geológica/ Ing. en Recursos Ener. +Máster Univ. en Ing. de Minas",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5.301,7.2
379,Ingeniería Agroambiental + Máster Univ. en Ingeniería Agronómica,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5.532
343,Ciencia de Datos e Inteligencia Artificial (Campus de Montegancedo),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.914,12.531
344,Ciencia de Datos e Inteligencia Artificial (Campus Sur),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.761,12.478
341,Ingeniería y Sistemas de datos (Campus Moncloa),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.643,12.127
342,Ingeniería y Sistemas de datos (Campus Sur),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.918,11.622
345,Matemáticas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.622
368,"Interuniversitario en Diseño de Moda (UPM) y Comercio (UCM) CampusSur/ Madrid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.411
